match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
New Zealand Vs Netherlands,New Zealand,3,Rachin Ravindra,c †Edwards b van der Merwe,51,51,3,1,100.00,out,ODI # 4663
New Zealand Vs Netherlands,New Zealand,4,Daryl Mitchell, b van Meekeren,48,47,5,2,102.12,out,ODI # 4663
New Zealand Vs Netherlands,New Zealand,5,Tom Latham(c)†,st †Edwards b Dutt,53,46,6,1,115.21,out,ODI # 4663
New Zealand Vs Netherlands,New Zealand,6,Glenn Phillips,c †Edwards b de Leede,4,4,1,0,100.00,out,ODI # 4663
New Zealand Vs Netherlands,New Zealand,7,Mark Chapman,c van der Merwe b Dutt,5,13,0,0,38.46,out,ODI # 4663
New Zealand Vs Netherlands,New Zealand,8,Mitchell Santner,,36,17,3,2,211.76,not_out,ODI # 4663
New Zealand Vs Netherlands,New Zealand,9,Matt Henry,,10,4,0,1,250.00,not_out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,1,Vikramjit Singh, b Henry,12,20,1,0,60.00,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,2,Max O'Dowd,lbw b Santner,16,31,2,0,51.61,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,3,Colin Ackermann,c Henry b Santner,69,73,5,0,94.52,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,4,Bas de Leede,c Boult b Ravindra,18,25,3,0,72.00,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,5,Teja Nidamanuru,run out (Ferguson/†Latham),21,26,2,1,80.76,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,6,Scott Edwards(c)†,c & b Santner,30,27,2,1,111.11,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,7,Sybrand Engelbrecht,c Conway b Henry,29,34,3,0,85.29,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,8,Roelof van der Merwe,c Henry b Santner,1,6,0,0,16.66,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,9,Ryan Klein,lbw b Santner,8,15,0,0,53.33,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,10,Aryan Dutt, b Henry,11,20,0,1,55.00,out,ODI # 4663
New Zealand Vs Netherlands,Netherlands,11,Paul van Meekeren,,4,3,1,0,133.33,not_out,ODI # 4663
Australia Vs India,Australia,1,David Warner,c & b Kuldeep Yadav,41,52,6,0,78.84,out,ODI # 4662
Australia Vs India,Australia,2,Mitchell Marsh,c Kohli b Bumrah,0,6,0,0,0.00,out,ODI # 4662
Australia Vs India,Australia,3,Steven Smith, b Jadeja,46,71,5,0,64.78,out,ODI # 4662
Australia Vs India,Australia,4,Marnus Labuschagne,c †Rahul b Jadeja,27,41,1,0,65.85,out,ODI # 4662
Australia Vs India,Australia,5,Glenn Maxwell, b Kuldeep Yadav,15,25,1,0,60.00,out,ODI # 4662
Australia Vs India,Australia,6,Alex Carey†,lbw b Jadeja,0,2,0,0,0.00,out,ODI # 4662
Australia Vs India,Australia,7,Cameron Green,c Pandya b Ashwin,8,20,0,0,40.00,out,ODI # 4662
Australia Vs India,Australia,8,Pat Cummins(c),c Iyer b Bumrah,15,24,1,1,62.50,out,ODI # 4662
Australia Vs India,Australia,9,Mitchell Starc,c Iyer b Mohammed Siraj,28,35,2,1,80.00,out,ODI # 4662
Australia Vs India,Australia,10,Adam Zampa,c Kohli b Pandya,6,20,0,0,30.00,out,ODI # 4662
Australia Vs India,Australia,11,Josh Hazlewood,,1,1,0,0,100.00,not_out,ODI # 4662
Australia Vs India,India,1,Rohit Sharma(c),lbw b Hazlewood,0,6,0,0,0.00,out,ODI # 4662
Australia Vs India,India,2,Ishan Kishan,c Green b Starc,0,1,0,0,0.00,out,ODI # 4662
Australia Vs India,India,3,Virat Kohli,c Labuschagne b Hazlewood,85,116,6,0,73.27,out,ODI # 4662
Australia Vs India,India,4,Shreyas Iyer,c Warner b Hazlewood,0,3,0,0,0.00,out,ODI # 4662
Australia Vs India,India,5,KL Rahul†,,97,115,8,2,84.34,not_out,ODI # 4662
Australia Vs India,India,6,Hardik Pandya,,11,8,0,1,137.50,not_out,ODI # 4662
South Africa Vs Sri Lanka,South Africa,1,Quinton de Kock†,c de Silva b Pathirana,100,84,12,3,119.04,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,2,Temba Bavuma(c),lbw b Madushanka,8,5,2,0,160.00,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,3,Rassie van der Dussen,c Samarawickrama b Wellalage,108,110,13,2,98.18,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,4,Aiden Markram,c Rajitha b Madushanka,106,54,14,3,196.29,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,5,Heinrich Klaasen,c Shanaka b Rajitha,32,20,1,3,160.00,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,6,David Miller,,39,21,3,2,185.71,not_out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,7,Marco Jansen,,12,7,0,1,171.42,not_out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka, b Jansen,0,3,0,0,0.00,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,2,Kusal Perera, b Jansen,7,15,1,0,46.66,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,3,Kusal Mendis†,c †Klaasen b Rabada,76,42,4,8,180.95,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,c Jansen b Coetzee,23,19,3,1,121.05,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,5,Charith Asalanka,c sub (RR Hendricks) b Ngidi,79,65,8,4,121.53,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,6,Dhananjaya de Silva,c sub (AL Phehlukwayo) b Maharaj,11,14,1,0,78.57,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,7,Dasun Shanaka(c), b Maharaj,68,62,6,3,109.67,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,8,Dunith Wellalage,c †Klaasen b Coetzee,0,1,0,0,0.00,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,9,Kasun Rajitha,c Markram b Coetzee,33,31,4,1,106.45,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,10,Matheesha Pathirana, b Rabada,5,16,1,0,31.25,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka,,4,2,1,0,200.00,not_out,ODI # 4661
Afghanistan Vs Bangladesh,Afghanistan,1,Rahmanullah Gurbaz†,c Tanzid Hasan b Mustafizur Rahman,47,62,4,1,75.80,out,ODI # 4660
Afghanistan Vs Bangladesh,Afghanistan,2,Ibrahim Zadran,c Tanzid Hasan b Shakib Al Hasan,22,25,3,1,88.00,out,ODI # 4660
Afghanistan Vs Bangladesh,Afghanistan,3,Rahmat Shah,c Litton Das b Shakib Al Hasan,18,25,1,0,72.00,out,ODI # 4660
Afghanistan Vs Bangladesh,Afghanistan,4,Hashmatullah Shahidi(c),c Towhid Hridoy b Mehidy Hasan Miraz,18,38,2,0,47.36,out,ODI # 4660
Afghanistan Vs Bangladesh,Afghanistan,5,Najibullah Zadran, b Shakib Al Hasan,5,13,0,0,38.46,out,ODI # 4660
Afghanistan Vs Bangladesh,Afghanistan,6,Mohammad Nabi, b Taskin Ahmed,6,12,0,0,50.00,out,ODI # 4660
Afghanistan Vs Bangladesh,Afghanistan,7,Azmatullah Omarzai, b Shoriful Islam,22,20,4,0,110.00,out,ODI # 4660
Afghanistan Vs Bangladesh,Afghanistan,8,Rashid Khan, b Mehidy Hasan Miraz,9,16,1,0,56.25,out,ODI # 4660
